,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
34,ZnAs,rhombohedral (P),0.21237484,6.163595628366595,6.163595628366595,6.163595628366595,63.276917012591454,63.276917012591454,63.276917012591454,177.59142184870745,R3c,146,160,0.35700932145118713,0.34150397777557373,0.13445129990577698,monoclinic (C),0.14317016,16.27017432502397,5.220405619067784,11.53192308499659,90.0,123.43165831607028,90.0,817.4236678058071,12,15,9,0.5045530200004578,0.35921546816825867,0.05097946897149086
35,Pb2S3,cubic (F),0.42323512,6.125524852651464,6.125524852651464,6.125524852651464,90.0,90.0,90.0,229.84227871266916,Fm-3m,227,216,0.9973805546760559,0.001964074792340398,0.00026099898968823254,orthorhombic (P),0.18471709,10.559774397668459,8.359461924304854,6.4988315970402075,90.0,90.0,90.0,573.6780684023623,62,55,26,0.87592613697052,0.03681362047791481,0.023096194490790367
36,Ba2Sb,tetragonal (I),0.5564066,4.882690479546461,4.882690479546461,19.06942338728997,90.0,90.0,90.0,454.627759873138,I4/mmm,87,140,0.7464094161987305,0.10447351634502411,0.04146554693579674,hexagonal (P),0.1247282,8.617831028897298,8.617831028897298,6.381757571345256,90.0,90.0,120.0,410.45625952227834,193,194,189,0.7760870456695557,0.17955780029296875,0.01726064272224903
37,CrBi2,monoclinic (C),0.4484126,11.683236935951562,6.460671219743301,7.740108869467803,90.0,100.9197364639363,90.0,573.6569862418804,C2/c,12,9,1.0,0.0,0.0,orthorhombic (P),0.31428748,7.100337281230727,7.008565733355049,7.5056388252012525,90.0,90.0,90.0,373.5044601103893,58,17,62,0.5291454792022705,0.2726232707500458,0.06873556971549988
38,TlS2,monoclinic (P),0.27539355,8.338947235713507,9.56049992880415,10.5847834968072,90.0,104.36051623835297,90.0,817.4994231639907,P2_1/c,4,11,0.6166949272155762,0.14439654350280762,0.12941689789295197,orthorhombic (P),0.20128389,10.084463844541856,10.91289371743835,7.106901432061467,90.0,90.0,90.0,782.1193504491864,62,19,33,0.6779261231422424,0.08195266872644424,0.05295032635331154
39,AsCl2,monoclinic (P),0.3242205,9.528805474211548,11.15732368743305,10.916356733105312,90.0,101.46215534005763,90.0,1137.4365591605183,P2_1/c,4,11,0.8754507899284363,0.046130064874887466,0.027587279677391052,orthorhombic (P),0.20734096,9.975979582387726,10.166109741254209,6.525725882530249,90.0,90.0,90.0,661.8189102105118,62,19,61,0.16807495057582855,0.16135336458683014,0.136631578207016
40,TaS2,hexagonal (P),0.5015849,4.0835522244784235,4.0835522244784235,10.081115557357805,90.0,90.0,120.0,145.58460516678937,P6_3/mmc,182,164,0.6363417506217957,0.25071293115615845,0.059237174689769745,rhombohedral (P),0.40824947,6.796727664074119,6.796727664074119,6.796727664074119,27.276620765190277,27.276620765190277,27.276620765190277,58.186614966352515,160,166,148,0.9159553647041321,0.07695705443620682,0.0030740597285330296
41,As4O7,monoclinic (P),0.26358968,7.035489553466012,8.13424629621574,8.26392232506786,90.0,97.2110062808408,90.0,469.1904945409919,P2_1/c,11,4,0.9126083850860596,0.03961804136633873,0.021902253851294518,orthorhombic (P),0.17605329,8.568659024682642,8.13532495004449,8.062545244184204,90.0,90.0,90.0,562.0305599313358,62,19,58,0.27326610684394836,0.13688410818576813,0.13330617547035217
42,Sn2S3,orthorhombic (P),0.3539465,8.903949620653153,7.796041860751326,8.480605531220432,90.0,90.0,90.0,588.6860157451736,Pnma,61,58,0.7528120279312134,0.03724846616387367,0.036360450088977814,monoclinic (P),0.23267841,9.595898236608022,6.863725342328596,11.892063090123248,90.0,98.3049805669595,90.0,775.0404030432701,10,13,14,0.29986581206321716,0.29745376110076904,0.18774284422397614
43,TiS2,hexagonal (P),0.53300077,3.5349074962882048,3.5349074962882048,6.48075804763363,90.0,90.0,120.0,70.13140608654825,P-3m1,186,163,0.9801170229911804,0.006378150079399347,0.005206389352679253,rhombohedral (P),0.23444264,12.4950969127772,12.4950969127772,12.4950969127772,16.408931256747415,16.408931256747415,16.408931256747415,135.74274621407585,166,160,148,0.5983336567878723,0.38614243268966675,0.011972867883741856
