,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
51,PbCl,orthorhombic (P),0.28932154,10.676234853805708,7.848240320589842,5.5506008031389715,90.0,90.0,90.0,465.08293661592114,Pnma,55,26,0.8898273706436157,0.043820686638355255,0.016739068552851677,cubic (P),0.15475403,4.179034587609938,4.179034587609938,4.179034587609938,90.0,90.0,90.0,72.98403947231225,221,205,224,0.4555780589580536,0.38833749294281006,0.09053061902523041
52,BiSb,rhombohedral (P),0.75979275,4.814289851430083,4.814289851430083,4.814289851430083,53.081428679824725,53.081428679824725,53.081428679824725,66.10949469946011,R-3m,160,148,0.997386634349823,0.002137336879968643,0.0002399481600150466,hexagonal (P),0.19209598,3.2196330611943025,3.2196330611943025,3.7258887406987533,90.0,90.0,120.0,33.448239991089395,164,191,194,0.9853734374046326,0.011142830364406109,0.0023456632625311613
53,NiBi,hexagonal (P),0.30911088,3.9483800209346978,3.9483800209346978,5.486354116471612,90.0,90.0,120.0,74.07170794922183,P6_3/mmc,164,187,0.982484757900238,0.014312596060335636,0.0010850634425878525,monoclinic (C),0.30398434,13.429828810072443,5.369252582768632,14.846885979916363,90.0,96.96408555787261,90.0,1062.6830002564298,12,15,8,0.995165228843689,0.0036564527545124292,0.0006713669281452894
54,NC3,tetragonal (P),0.21890035,9.605818889450696,9.605818889450696,6.138314999593403,90.0,90.0,90.0,566.3931071894546,P4_2/mmc,111,134,0.4255720376968384,0.3401997685432434,0.09078488498926163,cubic (P),0.1599047,6.281184787831731,6.281184787831731,6.281184787831731,90.0,90.0,90.0,247.8133568570583,205,198,218,0.6985582113265991,0.10341297090053558,0.06006310135126114
55,NiBi2,monoclinic (C),0.34642297,13.641618386806329,5.80861637954114,12.030849361558795,90.0,103.15694715101725,90.0,928.2873807768437,C2/m,15,8,0.9987868666648865,0.0009956806898117065,0.00011515441292431206,orthorhombic (P),0.2771539,8.05127721688361,5.952038916486386,8.55509732338851,90.0,90.0,90.0,409.9732274666282,17,58,62,0.3222603499889374,0.2691619396209717,0.12829063832759857
56,AgF3,monoclinic (P),0.22275004,4.940342100136749,7.05512620856029,7.4541571779460005,90.0,98.93034592807358,90.0,256.66318345969694,P2_1/c,4,11,0.8752425312995911,0.04396016523241997,0.030861064791679382,orthorhombic (P),0.17683718,6.669952611446983,6.4166183741323914,5.542458055884694,90.0,90.0,90.0,237.20911547015098,62,61,19,0.5128502249717712,0.10835247486829758,0.08928241580724716
57,SbBr2,orthorhombic (P),0.25602254,8.044514432714346,9.908083389551038,8.772532371710337,90.0,90.0,90.0,699.2210073996798,Pnma,61,19,0.37541770935058594,0.12750595808029175,0.09383848309516907,monoclinic (P),0.1638584,10.814668801419396,9.346136571757995,12.188368204393557,90.0,99.8488819606796,90.0,1213.787857951264,14,4,13,0.7768380045890808,0.08772854506969452,0.053436245769262314
58,Cd2Sb,tetragonal (I),0.2018048,5.46537159471425,5.46537159471425,8.136204330084201,90.0,90.0,90.0,243.03075573155516,I4_1/amd,98,139,0.7398340702056885,0.17436563968658447,0.03561726212501526,hexagonal (P),0.19887139,4.086882670047738,4.086882670047738,5.494125477176171,90.0,90.0,120.0,79.47189064139066,194,191,164,0.7158086895942688,0.11318159103393555,0.10382295399904251
59,SbCl,orthorhombic (P),0.31429356,9.072507303016412,6.943009880108666,9.137959386953224,90.0,90.0,90.0,575.6047024255911,Pnma,61,19,0.4675236642360687,0.13930630683898926,0.12209954857826233,monoclinic (P),0.23750646,10.220589938517781,10.15252491882602,12.315854736802851,90.0,99.87841474356709,90.0,1259.0052473197813,14,4,11,0.8318706750869751,0.0701160877943039,0.057656530290842056
60,Sn2Bi2,hexagonal (P),0.36226183,3.3582609102548857,3.3582609102548857,3.531802403587088,90.0,90.0,120.0,34.4949800558052,P6/mmm,164,194,0.962481677532196,0.019629493355751038,0.016213951632380486,rhombohedral (P),0.23975715,5.1336019114907225,5.1336019114907225,5.1336019114907225,49.91218537803892,49.91218537803892,49.91218537803892,72.85926907916648,166,160,148,0.9985926747322083,0.0007489916170015931,0.00031200944795273244
61,Se2O6,monoclinic (P),0.31558722,9.195831922652042,6.89956241943618,9.011269000377785,90.0,103.80205821300852,90.0,555.2313495016004,P2_1/c,13,4,0.877955436706543,0.04278872162103653,0.03563456982374191,orthorhombic (P),0.25753805,6.64172090775034,8.867274010751151,6.429736614996758,90.0,90.0,90.0,378.6726458186517,19,29,61,0.233938530087471,0.14458726346492767,0.14026950299739838
62,TcS4,monoclinic (P),0.36986917,4500.571891987245,0.055405522130336095,2.2895138824158378e-10,90.0,76.16076965813785,90.0,5.5433228648195884e-08,P2/m,14,13,0.5747471451759338,0.4252200424671173,2.141500408470165e-05,orthorhombic (P),0.16927792,10.939009668672965,11.442293873084594,4.033973971880108,90.0,90.0,90.0,504.9218857192625,62,61,60,0.6011848449707031,0.3979913294315338,0.000741562049370259
63,Br3S4,orthorhombic (P),0.3123366,8.289843555896862,9.002410689869063,9.252610531630923,90.0,90.0,90.0,690.5091505246279,Pnma,61,19,0.4737481474876404,0.11714260280132294,0.1065511405467987,monoclinic (P),0.28598428,11.011192572243399,11.375683297195481,9.880762107658985,90.0,114.35695203783388,90.0,1127.50299984384,14,13,4,0.5801986455917358,0.26182836294174194,0.06781814992427826
