22,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-4403,4,CaP2(H2O3)3,P-1,4559,FALSE,top-down,45,59,mp-706278
2dm-4409,4,La2Si(IO2)2,P2_1/c,3092,TRUE,top-down,27,29,mp-559088
2dm-4411,4,FeP3(H2O3)3,Pc,2935,FALSE,top-down,100,67,mp-746690
2dm-4418,4,BaH9IO5,P-1,3911,FALSE,top-down,33,50,mp-766855
2dm-4432,4,Ta2MnZn2O8,P2/c,2697,FALSE,top-down,91,120,mp-31903
2dm-4440,4,MgNiP2O7,P-1,3478,FALSE,top-down,121,167,mvc-5642
2dm-4446,4,Ta4Co2PdSe12,C2/m,6,FALSE,top-down,71,,mp-505133
2dm-4457,4,LaP3H8O7,P-1,4974,FALSE,top-down,48,44,mp-697701
2dm-4466,4,TlV3(SeO6)2,P3,2356,FALSE,top-down,,82,mp-645272
2dm-4470,4,LiMnPO4,Pmma,2800,TRUE,top-down,298,333,mp-765871
2dm-4479,4,Sr2Co(ClO)2,P4/mmm,225,FALSE,top-down,23,,mp-560610
2dm-4481,4,W3Se2ClO8,Pm,0,FALSE,top-down,630,38,mvc-1626
2dm-4485,4,Sn2SbS2I3,Pmmn,1164,TRUE,top-down,105,107,mp-561134
2dm-4490,4,Li2V3(CO3)6,P-1,663,FALSE,top-down,71,,mp-763569
2dm-4496,4,Ba2Tl2W3O10,P2,0,FALSE,top-down,390,-17,mvc-3144
2dm-4499,4,RbCrClO3,P2_1/c,2794,FALSE,top-down,91,54,mp-566299
2dm-4501,4,TiSn(PO4)2,P2_1/m,2250,FALSE,top-down,84,50,mp-760599
2dm-4506,4,Li2Nb(PO4)2,P-3,0,FALSE,top-down,349,299,mp-760377
2dm-4514,4,Al2SnCl6O,P-1,3948,FALSE,top-down,0,,mp-560633
2dm-4515,4,FeTe(PO4)2,Pm,918,TRUE,top-down,173,,mp-849683
2dm-4521,4,Cu2BiAsO6,Pmn2_1,68,FALSE,top-down,186,,mp-669361
2dm-4528,4,TlW2(Cl3O)2,P2/m,0,FALSE,top-down,61,87,mp-866385
