material_id,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-1128,2,NpBr3,P-6m2,26,FALSE,bottom-up,358,,
2dm-1129,2,Sr2Co,P4/mmm,0,FALSE,bottom-up,600,212,2dm-3380
2dm-113,2,Sc2F3,C2/m,873,FALSE,bottom-up,,102,2dm-3786
2dm-1130,2,NiN2,P-3m1,0,FALSE,bottom-up,1296,,2dm-5830
2dm-1131,2,In3Co,P-6m2,0,FALSE,bottom-up,657,461,2dm-3758
2dm-1132,2,ZrCl4,P-1,3442,FALSE,bottom-up,12,,2dm-4444
2dm-1133,2,PdC4,P6/mmm,0,FALSE,bottom-up,264,-803,2dm-3525
2dm-1134,2,GaBi3,P-3m1,78,TRUE,bottom-up,287,,
2dm-1135,2,BiBr3,Pmn2_1,2349,FALSE,bottom-up,96,123,2dm-3709
2dm-1136,2,RhCl4,P2_1/c,0,FALSE,bottom-up,9,,2dm-5163
2dm-1138,2,BSe,P-1,2598,FALSE,bottom-up,0,51,2dm-5155
2dm-1139,2,ScF,P-3m1,0,FALSE,bottom-up,162,60,2dm-4695
2dm-114,2,TaCl2,P-3m1,0,FALSE,bottom-up,375,60,2dm-5075
2dm-1140,2,Tb2Pb,P-3m1,0,FALSE,bottom-up,759,556,2dm-4563
2dm-1141,2,GaN,P4/nmm,1327,FALSE,bottom-up,772,128,2dm-3743
2dm-1142,2,YF2,P-6m2,1173,FALSE,bottom-up,388,61,2dm-5867
2dm-1143,2,CS,P3m1,1233,FALSE,bottom-up,1433,118,2dm-3977
2dm-1144,2,TlN3,P-3m1,420,FALSE,bottom-up,436,6,
2dm-1145,2,PbI4,P4/mmm,0,FALSE,bottom-up,389,,2dm-3719
2dm-1146,2,AlAs,P4/nmm,751,TRUE,bottom-up,224,87,2dm-3743
2dm-1147,2,Si4Pd,P4/nbm,0,FALSE,bottom-up,525,363,2dm-3525
2dm-1149,2,Re2Cl5,P2/c,0,FALSE,bottom-up,722,,2dm-4185
2dm-115,2,SnBi,P-1,701,FALSE,bottom-up,84,142,2dm-4588
2dm-1150,2,YF2,P4/mmm,0,FALSE,bottom-up,580,209,2dm-3640
2dm-1151,2,CeC2,P4/mmm,0,FALSE,bottom-up,762,341,2dm-3652
2dm-1152,2,SnBr4,P4/mmm,447,FALSE,bottom-up,229,129,2dm-4359
2dm-1153,2,Bi2O3,Pmn2_1,3024,FALSE,bottom-up,68,,2dm-3779
2dm-1154,2,TaTe,P4/nmm,0,FALSE,bottom-up,186,92,2dm-4224
2dm-1155,2,HfSi2,P4/nmm,0,FALSE,bottom-up,467,491,2dm-3413
2dm-1156,2,CeSn2,P4/mmm,0,FALSE,bottom-up,636,536,2dm-3652
2dm-1157,2,InBr3,Pmc2_1,1544,TRUE,bottom-up,80,,2dm-3521
2dm-1158,2,W3O8,C2/m,2689,FALSE,bottom-up,153,96,2dm-5654
2dm-1159,2,PdS,P4/nmm,0,FALSE,bottom-up,337,165,2dm-5133
2dm-116,2,InI,P4mm,1414,TRUE,bottom-up,,675,2dm-3775
2dm-1160,2,Tl3Rh,P-6m2,0,FALSE,bottom-up,440,381,2dm-3758
2dm-1161,2,SrAg,P6/mmm,0,FALSE,bottom-up,253,194,2dm-5120
2dm-1162,2,AlN3,P-3m1,0,FALSE,bottom-up,1117,525,
2dm-1163,2,Ga3Rh,P-6m2,0,FALSE,bottom-up,743,610,2dm-3758
2dm-1164,2,CaSn2,P-3m1,0,FALSE,bottom-up,570,586,2dm-5517
2dm-1165,2,Sr2Cd,P4/mmm,0,FALSE,bottom-up,214,276,2dm-5339
2dm-1166,2,SnBi,C2/m,920,TRUE,bottom-up,85,,2dm-3474
2dm-1167,2,In3Rh,P-6m2,0,FALSE,bottom-up,679,545,2dm-3758
2dm-1168,2,GaAs,P4/nmm,0,FALSE,bottom-up,324,128,2dm-3743
2dm-1169,2,C2O3,P2_1/c,6052,TRUE,bottom-up,300,,2dm-3613
2dm-117,2,SiSe,Pmmn,1163,FALSE,bottom-up,433,85,2dm-3338
2dm-1170,2,CaGe2,P-3m1,0,FALSE,bottom-up,929,983,2dm-5517
2dm-1171,2,BeAu,P6/mmm,0,FALSE,bottom-up,1019,,2dm-5120
2dm-1172,2,IrI4,P2_1/c,0,FALSE,bottom-up,111,,2dm-5163
2dm-1173,2,ReTe,P4/nmm,0,FALSE,bottom-up,536,99,2dm-5286
2dm-1174,2,SCl,P-1,2278,FALSE,bottom-up,31,15,2dm-3502
2dm-1175,2,Ba5La,P1,0,FALSE,bottom-up,335,270,2dm-4891
2dm-1176,2,AlBi3,P-3m1,66,TRUE,bottom-up,374,351,
2dm-1177,2,TaF3,P-31m,0,FALSE,bottom-up,414,51,2dm-3549
2dm-1178,2,Ta2O5,P2_1,3705,FALSE,bottom-up,329,,2dm-5656
2dm-1179,2,CuS2,P-3m1,0,FALSE,bottom-up,402,264,2dm-3587
2dm-118,2,In2O,P-3m1,0,FALSE,bottom-up,249,81,2dm-4083
2dm-1180,2,SCl,P-1,2235,TRUE,bottom-up,36,68,2dm-4682
2dm-1181,2,MgSi2,P-3m1,0,FALSE,bottom-up,624,589,2dm-5516
2dm-1182,2,Sc2Sn,P-3m1,0,FALSE,bottom-up,840,643,2dm-3189
2dm-1183,2,GaI,Pbcm,2267,TRUE,bottom-up,36,,2dm-4627
2dm-1184,2,AsBr3,Pmn2_1,2647,FALSE,bottom-up,22,66,2dm-3709
2dm-1185,2,P9Cl2,P2_1/m,0,FALSE,bottom-up,250,196,2dm-3684
2dm-1186,2,InI,P4/nmm,2208,TRUE,bottom-up,36,116,
2dm-1187,2,IrCl2,P-3m1,0,FALSE,bottom-up,592,94,2dm-4948
2dm-1188,2,MgAu,P6/mmm,0,FALSE,bottom-up,654,,2dm-5120
2dm-1189,2,ScCl3,Pmmn,2884,FALSE,bottom-up,98,71,2dm-3582
2dm-119,2,Sr5Co,Pmc2_1,0,FALSE,bottom-up,396,,2dm-5064
2dm-1190,2,NiAs2,P2_1/m,0,FALSE,bottom-up,256,155,2dm-4348
2dm-1191,2,ReBr3,P-31m,0,TRUE,bottom-up,0,,2dm-5379
2dm-1192,2,TeRu,P4/nmm,0,FALSE,bottom-up,153,101,2dm-5485
2dm-1193,2,NpI3,P-6m2,22,TRUE,bottom-up,17,,
2dm-1195,2,BCl,P4mm,1812,FALSE,bottom-up,,84,2dm-3775
2dm-1197,2,InI3,C2/m,1692,FALSE,bottom-up,14,88,2dm-3681
2dm-1198,2,PrSn5,Pmmm,0,FALSE,bottom-up,358,409,2dm-5299
2dm-1199,2,GeBi2,Pmc2_1,705,FALSE,bottom-up,143,,2dm-4912
2dm-12,2,TaCl4,P4/mmm,0,FALSE,bottom-up,238,96,2dm-3290
2dm-120,2,YPb3,P6/mmm,0,FALSE,bottom-up,639,,2dm-5552
2dm-1200,2,Ga2S5,P1,1859,TRUE,bottom-up,0,88,2dm-4306
2dm-1201,2,TaI4,P4/mmm,0,FALSE,bottom-up,282,150,2dm-3290
2dm-1202,2,Si4Ni,P4/nbm,0,FALSE,bottom-up,476,366,2dm-3525
2dm-1203,2,ThBr2,P-6m2,0,FALSE,bottom-up,17,,2dm-3738
2dm-1204,2,PbBr3,P1,340,FALSE,bottom-up,168,,2dm-5235
2dm-1205,2,Nb2O5,P2_1/m,2496,FALSE,bottom-up,75,,2dm-4298
2dm-1206,2,MgC2,P-3m1,0,FALSE,bottom-up,3276,2624,2dm-5517
2dm-1207,2,CS,Pmn2_1,1017,FALSE,bottom-up,1123,63,2dm-4478
2dm-1208,2,Y2Pb,P-3m1,0,FALSE,bottom-up,600,697,2dm-5825
2dm-1209,2,LaF,P-3m1,0,FALSE,bottom-up,325,,2dm-4695
2dm-121,2,TlF3,C2/m,3033,FALSE,bottom-up,29,84,2dm-4040
2dm-1210,2,B3Rh,P-6m2,0,FALSE,bottom-up,2163,1103,2dm-3758
2dm-1211,2,PtC3,Pbam,0,FALSE,bottom-up,1709,,2dm-5866
2dm-1212,2,SrSi2,P-3m1,0,FALSE,bottom-up,1479,1492,2dm-5516
2dm-1213,2,SrPb2,P-3m1,0,FALSE,bottom-up,590,596,2dm-5517
2dm-1215,2,Be2Co,P4/mmm,0,FALSE,bottom-up,414,440,2dm-3380
2dm-1216,2,Sr2Zn,P4/mmm,0,FALSE,bottom-up,191,267,2dm-5339
2dm-1217,2,PrC5,Pmmm,0,FALSE,bottom-up,1909,821,2dm-5299
2dm-1218,2,CrI4,P-1,0,FALSE,bottom-up,0,,2dm-4502
2dm-1219,2,ScBr,P-3m1,0,FALSE,bottom-up,0,54,2dm-4695
2dm-122,2,TaBr2,P-3m1,0,FALSE,bottom-up,440,63,2dm-3622
2dm-1220,2,PbCl3,P1,768,FALSE,bottom-up,92,79,2dm-5235
2dm-1221,2,NdPb2,P4/mmm,0,FALSE,bottom-up,344,246,2dm-3714
2dm-1223,2,WI2,C2/m,0,FALSE,bottom-up,638,48,2dm-4342
2dm-1224,2,BiPb,P-1,303,TRUE,bottom-up,254,,2dm-3615
2dm-1225,2,Bi2Pb,Pmc2_1,268,FALSE,bottom-up,187,,2dm-4912
2dm-1226,2,InI,Pbcm,2220,FALSE,bottom-up,37,117,2dm-4627
2dm-1228,2,Sr5Y,P1,0,FALSE,bottom-up,344,285,2dm-4891
2dm-1229,2,WBr4,P1,423,FALSE,bottom-up,267,,2dm-4502
2dm-123,2,Sn3H,P-3m1,0,FALSE,bottom-up,90,38,2dm-5083
2dm-1230,2,CaC2,P-3m1,0,FALSE,bottom-up,3469,2732,2dm-5517
2dm-1231,2,ZrI3,P-1,319,FALSE,bottom-up,60,90,2dm-3805
2dm-1232,2,RhS,P4/nmm,0,FALSE,bottom-up,205,130,2dm-4022
2dm-1233,2,Te3N2,P-3m1,0,FALSE,bottom-up,1033,75,2dm-4453
2dm-1234,2,AlI3,Pmc2_1,1853,TRUE,bottom-up,95,104,2dm-3521
2dm-1235,2,IrC3,P4/mbm,0,FALSE,bottom-up,1689,,
2dm-1236,2,B2S5,C2/m,1338,FALSE,bottom-up,99,67,2dm-4985
2dm-1237,2,CCl2,P-3m1,1763,FALSE,bottom-up,1505,65,2dm-3464
2dm-1238,2,Re3Br8,C2,149,FALSE,bottom-up,68,,2dm-4993
2dm-1239,2,TcBr3,P-31m,0,FALSE,bottom-up,51,,2dm-5379
2dm-124,2,GeH,P-3m1,1068,TRUE,bottom-up,26,36,2dm-4712
2dm-1240,2,CrO3,Pm,1251,FALSE,bottom-up,122,,2dm-3784
2dm-1242,2,P9Br2,P2_1/m,0,FALSE,bottom-up,314,245,2dm-3684
2dm-1243,2,CePb2,P4/mmm,0,FALSE,bottom-up,340,,2dm-3652
2dm-1244,2,EuPb2,P-3m1,0,FALSE,bottom-up,503,,
2dm-1245,2,NiPb4,P4/nbm,0,FALSE,bottom-up,143,170,2dm-3525
2dm-1246,2,Se3N2,P-3m1,0,FALSE,bottom-up,1239,,2dm-2995
2dm-1247,2,Gd2Cl3,C2/m,0,FALSE,bottom-up,8,,2dm-5591
2dm-1248,2,BCl3,C2/m,4707,TRUE,bottom-up,120,-544,2dm-4040
2dm-1249,2,BeSn2,P-3m1,0,FALSE,bottom-up,505,280,2dm-5517
2dm-125,2,TbBr3,Pmmn,2907,FALSE,bottom-up,0,85,2dm-3753
2dm-1250,2,Mg2As,P-3m1,0,FALSE,bottom-up,532,373,2dm-3665
2dm-1251,2,SrI2,P-4m2,4113,TRUE,bottom-up,180,194,2dm-4009
2dm-1252,2,HfTe3,P2_1/m,0,FALSE,bottom-up,25,,2dm-5326
2dm-1253,2,SnBi2,Pmc2_1,527,FALSE,bottom-up,81,,2dm-4912
2dm-1254,2,ScI,P-3m1,0,FALSE,bottom-up,97,62,2dm-4695
2dm-1255,2,B2Se5,P-1,721,FALSE,bottom-up,0,72,2dm-4306
2dm-1256,2,S3N2,P2_1/m,0,FALSE,bottom-up,416,,2dm-4253
2dm-1257,2,SbI4,P-1,0,FALSE,bottom-up,133,144,2dm-4763
2dm-1258,2,BI3,Pmc2_1,2238,TRUE,bottom-up,29,113,2dm-3521
2dm-1259,2,GeBr3,P1,2014,TRUE,bottom-up,73,66,2dm-5235
2dm-126,2,SiCl2,P-3m1,2186,FALSE,bottom-up,585,72,2dm-3464
2dm-1260,2,OsS,P4/nmm,0,FALSE,bottom-up,356,107,2dm-5485
2dm-1261,2,Au18Se11,P1,0,FALSE,bottom-up,208,,
2dm-1262,2,ScF2,P-6m2,740,FALSE,bottom-up,300,50,2dm-5867
2dm-1263,2,ScF2,P4/mmm,0,FALSE,bottom-up,442,72,2dm-3640
2dm-1264,2,Mo3O8,C2/m,1759,FALSE,bottom-up,37,,2dm-5654
2dm-1265,2,PtS,P4/nmm,0,FALSE,bottom-up,730,191,2dm-5133
2dm-1266,2,FeBr4,P2_1/c,3,TRUE,bottom-up,0,,2dm-4073
